time,mean_TRMM_3B42
2015-01-01,11.8515491
2015-01-02,0
2015-01-03,0
2015-01-04,2.43741369
2015-01-05,0.290901601
2015-01-06,0
2015-01-07,1.55141151
2015-01-08,1.93556702
2015-01-09,1.87665582
2015-01-10,0
2015-01-11,0
2015-01-12,12.7494907
2015-01-13,9.82300758
2015-01-14,9.69162273
2015-01-15,1.54942703
2015-01-16,44.6102638
2015-01-17,64.7599258
2015-01-18,6.18021154
2015-01-19,37.3252831
2015-01-20,35.7594376
2015-01-21,60.5272293
2015-01-22,38.6811867
2015-01-23,24.2004471
2015-01-24,16.5496273
2015-01-25,7.34811592
2015-01-26,2.48911834
2015-01-27,4.54102564
2015-01-28,0
2015-01-29,0.191879258
2015-01-30,18.6534367
2015-01-31,47.7946587
2015-02-01,0.392583281
2015-02-02,24.5516453
2015-02-03,11.5945673
2015-02-04,8.60883331
2015-02-05,39.4983902
2015-02-06,23.3614559
2015-02-07,23.8268909
2015-02-08,39.2855415
2015-02-09,4.2601757
2015-02-10,7.94985819
2015-02-11,1.59585047
2015-02-12,4.66181517
2015-02-13,0.591542542
2015-02-14,0.438405573
2015-02-15,8.69095421
2015-02-16,44.1975517
2015-02-17,3.77958465
2015-02-18,30.0618134
2015-02-19,2.51554894
2015-02-20,3.88468051
2015-02-21,0
2015-02-22,1.69138324
2015-02-23,1.47659528
2015-02-24,4.96079874
2015-02-25,0.376731426
2015-02-26,4.89086914
2015-02-27,9.97456074
2015-02-28,6.94565535
2015-03-01,30.0480137
2015-03-02,27.437212
2015-03-03,5.3026247
2015-03-04,2.78168392
2015-03-05,7.35015392
2015-03-06,21.8349266
2015-03-07,0.937454879
2015-03-08,0.912349522
2015-03-09,0.891372919
2015-03-10,3.42917848
2015-03-11,1.45630717
2015-03-12,19.2985096
2015-03-13,7.45925951
2015-03-14,30.5211468
2015-03-15,38.2003632
2015-03-16,27.5863838
2015-03-17,0.478251457
2015-03-18,7.18512392
2015-03-19,5.14543915
2015-03-20,8.16654396
2015-03-21,1.69732749
2015-03-22,0.345624
2015-03-23,2.71394897
2015-03-24,6.54127455
2015-03-25,4.37120152
